,filename,aug,scores,original_height,original_width,boxes,count
0,Lorenz_Frølich_-_Landscape_with_a_Building_in_the_Background_-_KMS7045_-_Statens_Museum_for_Kunst.jpg,light_artifact,"[0.5625, 0.404296875, 0.423828125]",457,768,"[[590.0508422851562, -0.9233449697494507, 766.9569091796875, 271.9258117675781], [581.979736328125, -0.6169842481613159, 767.6043090820312, 429.5160217285156], [3.1452255249023438, -0.3167116045951843, 526.269287109375, 165.4381866455078]]",3
1,Johan_Christian_Dahl_-_Study_of_a_Birch_Tree_-_Google_Art_Project.jpg,light_artifact,[0.83203125],1500,1094,"[[56.77944564819336, -2.2318215370178223, 1087.350341796875, 1436.1473388671875]]",1
2,Dahl_Joh._Chr._View_from_Pimonte_of_Neapel@Kunsthalle_Hamburg.JPG,light_artifact,"[0.5078125, 0.42578125, 0.451171875, 0.5390625, 0.427734375, 0.427734375, 0.53125, 0.55859375, 0.71875, 0.478515625, 0.6171875]",958,1500,"[[4.046274185180664, 225.49166870117188, 144.13829040527344, 440.4429931640625], [308.516357421875, 539.2288818359375, 424.8953857421875, 630.3328857421875], [212.22073364257812, 396.7974548339844, 297.7301940917969, 537.3654174804688], [517.1964721679688, 625.1618041992188, 600.992431640625, 691.34521484375], [1094.5557861328125, 670.5205078125, 1217.1842041015625, 953.5881958007812], [8.255280494689941, 225.38978576660156, 142.1920623779297, 412.6056823730469], [258.9679870605469, 461.6484680175781, 345.6046447753906, 574.6316528320312], [183.186767578125, 88.36932373046875, 326.5527648925781, 543.8899536132812], [1.3427585363388062, 0.36105120182037354, 388.40740966796875, 668.2964477539062], [2.106567859649658, 225.5051727294922, 152.51681518554688, 521.7642822265625], [608.2355346679688, 539.971923828125, 887.8822021484375, 912.2730712890625]]",11
3,Johan_Christian_Dahl_-_View_from_the_Bastei_in_the_Sächsische_Schweiz_-_DFG.0058_-_Drammens_Museum.png,light_artifact,[],789,1321,[],0
4,"Christen_Dalsgaard_-_En_ung_Pige,_der_vifter_Farvel_-_1856.png",light_artifact,[0.73828125],1116,1500,"[[10.66763687133789, -6.084107398986816, 1346.59716796875, 811.0836181640625]]",1
5,"Carl_Baagøe_-_Kysten_ved_Laboe,_Kielerfjorden_-_1859.jpg",light_artifact,[0.9140625],1072,1500,"[[888.3685302734375, 519.482177734375, 1182.94287109375, 750.4091186523438]]",1
6,Carl_Gustav_Carus_Der_Erlkönig.jpg,light_artifact,"[0.455078125, 0.498046875, 0.419921875, 0.412109375]",1500,1131,"[[678.7025146484375, 609.067138671875, 866.1871948242188, 799.4015502929688], [16.13141632080078, 502.8731994628906, 166.3565216064453, 740.30224609375], [463.7539978027344, 634.5353393554688, 691.1012573242188, 821.8579711914062], [156.73609924316406, 488.39178466796875, 545.1132202148438, 735.8279418945312]]",4
7,Lars_Hertervig_-_Fra_Hindal_(sjøsiden)_-_Stavanger_kunstmuseum_-_SG.0653.jpg,light_artifact,"[0.55859375, 0.482421875, 0.546875, 0.51953125, 0.53515625, 0.58203125]",468,668,"[[582.3998413085938, 275.2878112792969, 601.093505859375, 297.2381286621094], [411.9912414550781, 293.61865234375, 421.9073791503906, 318.4447937011719], [457.24578857421875, 250.66110229492188, 494.72998046875, 299.2079162597656], [614.2033081054688, 277.8011169433594, 630.43408203125, 296.45465087890625], [390.2884216308594, 290.0984802246094, 410.87451171875, 320.2465515136719], [542.4011840820312, 264.47869873046875, 557.3851318359375, 283.8279724121094]]",6
8,Carl_Frederik_Aagaard_-_Parti_fra_Møens_Klint_-_1861.jpg,light_artifact,[],827,1500,[],0
9,Werner%20Holmberg%20-%20Erkrath%20Church%2C%20study%20-%20A%20I%20471-58%20-%20Finnish%20National%20Gallery.jpg,light_artifact,[],1093,1500,[],0
