,filename,aug,scores,original_height,original_width,boxes,count
0,Lorenz_Frølich_-_Landscape_with_a_Building_in_the_Background_-_KMS7045_-_Statens_Museum_for_Kunst.jpg,vignette,"[0.67578125, 0.5390625]",457,768,"[[569.2905883789062, -1.132148027420044, 766.3264770507812, 301.42437744140625], [2.5869827270507812, 0.1938486397266388, 533.2664794921875, 165.46311950683594]]",2
1,Johan_Christian_Dahl_-_Study_of_a_Birch_Tree_-_Google_Art_Project.jpg,vignette,"[0.78125, 0.52734375]",1500,1094,"[[60.34078598022461, -2.664238214492798, 1084.2261962890625, 1413.8953857421875], [218.39117431640625, -0.18998980522155762, 912.48388671875, 1397.5335693359375]]",2
2,Dahl_Joh._Chr._View_from_Pimonte_of_Neapel@Kunsthalle_Hamburg.JPG,vignette,"[0.498046875, 0.53125, 0.435546875, 0.419921875, 0.46875, 0.8046875, 0.53125, 0.6875]",958,1500,"[[517.212158203125, 624.884765625, 600.5319213867188, 692.0309448242188], [184.64373779296875, 88.43938446044922, 327.5735168457031, 544.1157836914062], [8.445136070251465, 225.38226318359375, 140.94598388671875, 402.69146728515625], [206.6393280029297, 398.8105163574219, 346.80462646484375, 574.9636840820312], [258.74505615234375, 460.1169738769531, 345.91448974609375, 574.6056518554688], [1.9582808017730713, 0.6925239562988281, 389.0594177246094, 663.1557006835938], [2.348480701446533, 225.8344268798828, 149.30477905273438, 520.6030883789062], [606.9694213867188, 537.9180908203125, 887.464111328125, 916.802490234375]]",8
3,Johan_Christian_Dahl_-_View_from_the_Bastei_in_the_Sächsische_Schweiz_-_DFG.0058_-_Drammens_Museum.png,vignette,[],789,1321,[],0
4,"Christen_Dalsgaard_-_En_ung_Pige,_der_vifter_Farvel_-_1856.png",vignette,[0.734375],1116,1500,"[[13.631478309631348, -0.476507306098938, 1380.62646484375, 808.7861938476562]]",1
5,"Carl_Baagøe_-_Kysten_ved_Laboe,_Kielerfjorden_-_1859.jpg",vignette,[0.921875],1072,1500,"[[888.0877075195312, 518.5110473632812, 1183.4185791015625, 750.5161743164062]]",1
6,Carl_Gustav_Carus_Der_Erlkönig.jpg,vignette,"[0.50390625, 0.50390625, 0.482421875, 0.4375]",1500,1131,"[[677.0369873046875, 607.7420654296875, 866.0258178710938, 799.4244995117188], [15.72124195098877, 502.8477478027344, 166.72479248046875, 740.1083984375], [487.43316650390625, 634.1143798828125, 692.0528564453125, 820.2796020507812], [158.6464385986328, 488.078369140625, 546.8757934570312, 738.484375]]",4
7,Lars_Hertervig_-_Fra_Hindal_(sjøsiden)_-_Stavanger_kunstmuseum_-_SG.0653.jpg,vignette,"[0.5546875, 0.474609375, 0.45703125, 0.51171875]",468,668,"[[456.888671875, 250.88438415527344, 491.32562255859375, 299.25726318359375], [582.174072265625, 274.81683349609375, 601.1314697265625, 297.2618408203125], [390.2351379394531, 289.9419250488281, 410.8929138183594, 320.15118408203125], [542.1587524414062, 264.3648376464844, 557.3619384765625, 283.92724609375]]",4
8,Carl_Frederik_Aagaard_-_Parti_fra_Møens_Klint_-_1861.jpg,vignette,[],827,1500,[],0
9,Werner%20Holmberg%20-%20Erkrath%20Church%2C%20study%20-%20A%20I%20471-58%20-%20Finnish%20National%20Gallery.jpg,vignette,[],1093,1500,[],0
