epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.6000000238418579,,0.5866697430610657,,
0,71,,,,,,,0.8882681727409363,0.28231120109558105
0,71,,,0.7976190447807312,,0.8908303380012512,,,
1,99,,,,0.949999988079071,,0.2039080113172531,,
1,143,,,,,,,0.8715083599090576,0.2713887393474579
1,143,,,0.8669467568397522,,0.3330003023147583,,,
2,149,,,,1.0,,0.12484095245599747,,
2,199,,,,0.8999999761581421,,0.2223530262708664,,
2,215,,,,,,,0.8715083599090576,0.29048219323158264
2,215,,,0.8536414504051208,,0.37126514315605164,,,
3,249,,,,0.949999988079071,,0.15422070026397705,,
3,287,,,,,,,0.9050279259681702,0.22434884309768677
3,287,,,0.8858543634414673,,0.28468501567840576,,,
4,299,,,,0.8999999761581421,,0.08688437938690186,,
4,349,,,,0.8999999761581421,,0.41333016753196716,,
4,359,,,,,,,0.8938547372817993,0.24568817019462585
4,359,,,0.8760504126548767,,0.28776392340660095,,,
5,399,,,,0.8500000238418579,,0.3189813494682312,,
5,431,,,,,,,0.8044692873954773,0.3192462921142578
5,431,,,0.8879551887512207,,0.2896864116191864,,,
6,449,,,,0.8999999761581421,,0.24964594841003418,,
6,499,,,,1.0,,0.11368188261985779,,
6,503,,,,,,,0.910614550113678,0.24705232679843903
6,503,,,0.8991596698760986,,0.23836055397987366,,,
7,549,,,,0.8500000238418579,,0.2930757403373718,,
7,575,,,,,,,0.8715083599090576,0.26281577348709106
7,575,,,0.8914566040039062,,0.24540267884731293,,,
8,599,,,,0.949999988079071,,0.15593230724334717,,
8,647,,,,,,,0.9050279259681702,0.3124066889286041
8,647,,,0.9166666865348816,,0.20395880937576294,,,
9,648,0.9217877388000488,0.33349883556365967,,,,,,
