,filename,aug,scores,original_height,original_width,boxes,count
0,Lorenz_Frølich_-_Landscape_with_a_Building_in_the_Background_-_KMS7045_-_Statens_Museum_for_Kunst.jpg,jpeg_compr,"[0.419921875, 0.4453125]",457,768,"[[-0.0641326904296875, -0.7196356654167175, 536.7283325195312, 374.63104248046875], [572.2461547851562, -0.942766547203064, 768.77783203125, 287.015625]]",2
1,Johan_Christian_Dahl_-_Study_of_a_Birch_Tree_-_Google_Art_Project.jpg,jpeg_compr,[0.78515625],1500,1094,"[[58.09442138671875, -3.9582252502441406, 926.7940673828125, 1463.3876953125]]",1
2,Dahl_Joh._Chr._View_from_Pimonte_of_Neapel@Kunsthalle_Hamburg.JPG,jpeg_compr,"[0.5703125, 0.55859375, 0.451171875, 0.50390625, 0.419921875, 0.59765625, 0.60546875, 0.56640625, 0.419921875, 0.81640625]",958,1500,"[[1263.3055419921875, 100.81311798095703, 1492.404052734375, 271.5535888671875], [116.11801147460938, 86.30905151367188, 327.9122619628906, 613.5049438476562], [16.413410186767578, 225.263427734375, 149.8721466064453, 401.2491455078125], [201.0008544921875, 395.6009826660156, 348.9791259765625, 580.79541015625], [1254.2779541015625, 106.36522674560547, 1492.0316162109375, 398.1241760253906], [7.246032238006592, 225.39735412597656, 148.0433349609375, 514.9791259765625], [604.1185302734375, 534.627685546875, 891.1595458984375, 917.6962280273438], [402.01910400390625, 476.0598449707031, 613.2673950195312, 631.8575439453125], [518.2969970703125, 623.48388671875, 596.5372924804688, 697.09765625], [1.7521753311157227, 1.1391699314117432, 388.8940124511719, 681.918701171875]]",10
3,Johan_Christian_Dahl_-_View_from_the_Bastei_in_the_Sächsische_Schweiz_-_DFG.0058_-_Drammens_Museum.png,jpeg_compr,"[0.41015625, 0.482421875]",789,1321,"[[948.4339599609375, 381.98748779296875, 967.5201416015625, 401.5027160644531], [1137.2879638671875, 339.0652160644531, 1158.7965087890625, 370.2469482421875]]",2
4,"Christen_Dalsgaard_-_En_ung_Pige,_der_vifter_Farvel_-_1856.png",jpeg_compr,[0.71875],1116,1500,"[[11.713251113891602, -1.1542339324951172, 1403.4453125, 844.3698120117188]]",1
5,"Carl_Baagøe_-_Kysten_ved_Laboe,_Kielerfjorden_-_1859.jpg",jpeg_compr,"[0.70703125, 0.56640625, 0.546875, 0.609375]",1072,1500,"[[888.2061157226562, 519.3279418945312, 1184.1029052734375, 752.8953247070312], [1464.75830078125, 399.4868469238281, 1499.5615234375, 476.7489318847656], [968.7202758789062, 519.4866333007812, 1183.9892578125, 747.6768188476562], [884.4853515625, 529.6761474609375, 1049.745361328125, 751.3092041015625]]",4
6,Carl_Gustav_Carus_Der_Erlkönig.jpg,jpeg_compr,[],1500,1131,[],0
7,Lars_Hertervig_-_Fra_Hindal_(sjøsiden)_-_Stavanger_kunstmuseum_-_SG.0653.jpg,jpeg_compr,[],468,668,[],0
8,Carl_Frederik_Aagaard_-_Parti_fra_Møens_Klint_-_1861.jpg,jpeg_compr,[],827,1500,[],0
9,Werner%20Holmberg%20-%20Erkrath%20Church%2C%20study%20-%20A%20I%20471-58%20-%20Finnish%20National%20Gallery.jpg,jpeg_compr,"[0.48046875, 0.40234375]",1093,1500,"[[1437.4893798828125, 565.6459350585938, 1492.1678466796875, 598.5001220703125], [1379.383056640625, 562.208984375, 1414.330078125, 608.552978515625]]",2
