,filename,aug,scores,original_height,original_width,boxes,count
0,Lorenz_Frølich_-_Landscape_with_a_Building_in_the_Background_-_KMS7045_-_Statens_Museum_for_Kunst.jpg,strong_blur,[],457,768,[],0
1,Johan_Christian_Dahl_-_Study_of_a_Birch_Tree_-_Google_Art_Project.jpg,strong_blur,"[0.48828125, 0.42578125, 0.671875]",1500,1094,"[[15.689735412597656, -2.5159120559692383, 928.7196655273438, 1477.72509765625], [12.45831298828125, -0.9533017873764038, 1091.492919921875, 1487.3853759765625], [173.34580993652344, -5.004465579986572, 913.8592529296875, 1427.339599609375]]",3
2,Dahl_Joh._Chr._View_from_Pimonte_of_Neapel@Kunsthalle_Hamburg.JPG,strong_blur,"[0.451171875, 0.4453125, 0.458984375, 0.6015625, 0.75390625]",958,1500,"[[9.774042129516602, 231.12762451171875, 143.04432678222656, 530.03271484375], [11.124585151672363, 230.2434844970703, 142.87074279785156, 439.94366455078125], [210.2887420654297, 408.8919372558594, 340.2090759277344, 575.9833374023438], [610.31689453125, 620.8236083984375, 882.8134155273438, 924.121826171875], [4.998989582061768, 4.368274211883545, 383.9541931152344, 739.8985595703125]]",5
3,Johan_Christian_Dahl_-_View_from_the_Bastei_in_the_Sächsische_Schweiz_-_DFG.0058_-_Drammens_Museum.png,strong_blur,[],789,1321,[],0
4,"Christen_Dalsgaard_-_En_ung_Pige,_der_vifter_Farvel_-_1856.png",strong_blur,[0.57421875],1116,1500,"[[12.609466552734375, -0.2581261396408081, 1344.4510498046875, 804.768310546875]]",1
5,"Carl_Baagøe_-_Kysten_ved_Laboe,_Kielerfjorden_-_1859.jpg",strong_blur,[0.921875],1072,1500,"[[893.3867797851562, 522.1058959960938, 1176.7884521484375, 753.9114990234375]]",1
6,Carl_Gustav_Carus_Der_Erlkönig.jpg,strong_blur,[],1500,1131,[],0
7,Lars_Hertervig_-_Fra_Hindal_(sjøsiden)_-_Stavanger_kunstmuseum_-_SG.0653.jpg,strong_blur,[],468,668,[],0
8,Carl_Frederik_Aagaard_-_Parti_fra_Møens_Klint_-_1861.jpg,strong_blur,[],827,1500,[],0
9,Werner%20Holmberg%20-%20Erkrath%20Church%2C%20study%20-%20A%20I%20471-58%20-%20Finnish%20National%20Gallery.jpg,strong_blur,[],1093,1500,[],0
10,P._C._Skovgaard_-_Stille_Sommeraften_ved_en_Indsø.png,strong_blur,"[0.412109375, 0.48046875, 0.4609375, 0.5, 0.4375, 0.46875]",1182,1500,"[[557.5301513671875, 554.6319580078125, 720.204345703125, 735.2813110351562], [341.1427307128906, 523.295654296875, 477.39593505859375, 740.1785888671875], [-3.940925121307373, -1.000780463218689, 443.8265075683594, 1082.5335693359375], [455.9917297363281, 510.3043212890625, 575.9664916992188, 751.63427734375], [538.9738159179688, -1.211997628211975, 1511.690673828125, 950.3822631835938], [251.39395141601562, 507.7008972167969, 354.64996337890625, 736.70849609375]]",6
11,"Turner_-_Regulus,_1828,_reworked_1837,_N00519.jpg",strong_blur,[],1095,1500,[],0
12,"F._C._Kiærskou_-_Forest_scene_in_Jægersborg_Dyrehave,_Copenhagen_(1854).jpg",strong_blur,"[0.71484375, 0.72265625, 0.451171875, 0.72265625, 0.59375, 0.5859375, 0.80859375, 0.66796875]",848,1200,"[[336.6674499511719, 500.93536376953125, 396.3792724609375, 608.5033569335938], [1027.7830810546875, 269.16448974609375, 1208.3870849609375, 655.3511352539062], [-10.589969635009766, 245.97569274902344, 333.6849365234375, 628.0656127929688], [161.50245666503906, 328.271484375, 333.66961669921875, 628.1053466796875], [-8.298826217651367, 247.759033203125, 191.6956787109375, 619.79052734375], [862.4417114257812, 334.4043884277344, 1033.7081298828125, 657.6116333007812], [620.8870849609375, 195.55076599121094, 917.8760375976562, 656.77001953125], [489.14581298828125, 435.4789123535156, 658.782958984375, 653.2037353515625]]",8
13,"Johan_Christian_Dahl_-_Nordic_Landscape_with_a_dead_Tree_-_NG.M.00410_-_National_Museum_of_Art,_Architecture_and_Design.jpg",strong_blur,"[0.578125, 0.7578125, 0.53125, 0.484375]",1223,1500,"[[520.2192993164062, 588.51806640625, 673.5144653320312, 934.9006958007812], [1247.7713623046875, 651.2714233398438, 1427.721923828125, 890.9384765625], [11.9144287109375, 701.8508911132812, 178.84703063964844, 983.157958984375], [1056.73291015625, 883.5479125976562, 1200.91845703125, 942.9052124023438]]",4
14,Carl_Frederik_Aagaard_-_Gamle_Piletræer_ved_en_Indsø.png,strong_blur,"[0.546875, 0.53515625]",1014,1500,"[[1348.76611328125, 272.6654357910156, 1502.2591552734375, 572.8908081054688], [-0.7780976295471191, 281.5209655761719, 249.65756225585938, 955.469970703125]]",2
15,Hans_Gude_-_En_innsjø_landskapet_(1861).jpg,strong_blur,"[0.55078125, 0.6875]",1009,1500,"[[541.6126708984375, 527.443603515625, 706.8685302734375, 802.758056640625], [297.33941650390625, 619.5538940429688, 434.1767578125, 782.4400024414062]]",2
16,Carl_Frederik_Aagaard_-_Fjordparti_-_1874.jpg,strong_blur,"[0.47265625, 0.609375]",974,1400,"[[-2.21414852142334, 502.77862548828125, 126.99262237548828, 863.05810546875], [806.5626220703125, 549.0908203125, 948.91015625, 881.2609252929688]]",2
17,"Joseph_Mallord_William_Turner_(1775-1851)_-_House_beside_the_River,_with_Trees_and_Sheep_-_N02694_-_National_Gallery.jpg",strong_blur,"[0.5546875, 0.419921875, 0.671875, 0.609375, 0.43359375, 0.5703125, 0.63671875, 0.416015625, 0.470703125, 0.45703125, 0.470703125, 0.53515625, 0.54296875]",840,1154,"[[374.3676452636719, 360.48858642578125, 562.0408325195312, 577.0132446289062], [710.5343017578125, 303.8874816894531, 789.4942016601562, 559.7906494140625], [-0.715462863445282, 31.894554138183594, 143.8977508544922, 600.889892578125], [1068.881103515625, 262.0400695800781, 1157.9002685546875, 564.67431640625], [-1.6074377298355103, 316.33905029296875, 69.05746459960938, 537.165771484375], [936.2673950195312, 432.48883056640625, 1020.4912109375, 580.2152099609375], [578.7908325195312, 290.13739013671875, 692.8253784179688, 572.1798095703125], [110.70979309082031, 92.89691162109375, 360.1953430175781, 436.18695068359375], [712.61279296875, 240.1401824951172, 905.330322265625, 569.0808715820312], [134.24310302734375, 491.75311279296875, 264.07427978515625, 628.7735595703125], [759.889892578125, 241.22760009765625, 866.7281494140625, 557.551025390625], [108.2099380493164, 92.16867065429688, 361.4937438964844, 642.1302490234375], [837.1256713867188, 277.0022888183594, 929.3742065429688, 572.0480346679688]]",13
18,18264-image.jpg,strong_blur,[],497,755,[],0
19,"Johan_Christian_Dahl_-_View_at_Larsens_Plads_Copenhagen_-_NG.M.00426-013_-_National_Museum_of_Art,_Architecture_and_Design.jpg",strong_blur,[],714,999,[],0
20,Anton_Dorph_-_Arbejdsiver._To_tvillingepiger_siddende_i_en_klit_med_strikketøjet.png,strong_blur,[0.6015625],1185,1500,"[[0.07152557373046875, 0.4019462466239929, 895.9729614257812, 179.46966552734375]]",1
21,Hans_Gude_Hønefoss_1893.JPG,strong_blur,"[0.48046875, 0.44140625, 0.470703125]",387,602,"[[496.4402160644531, 5.63029670715332, 604.6707763671875, 240.80340576171875], [415.2087097167969, 116.2564468383789, 493.9541015625, 252.02915954589844], [425.1990966796875, 58.04693603515625, 473.54522705078125, 118.01298522949219]]",3
22,J.M.W._Turner_-_Off_Margate.jpg,strong_blur,[],626,956,[],0
23,"Hans_Gude_-_From_Hallingdal_-_NG.M.01980_-_National_Museum_of_Art,_Architecture_and_Design.jpg",strong_blur,"[0.51953125, 0.427734375, 0.42578125, 0.404296875, 0.5859375, 0.421875, 0.609375, 0.41015625]",690,1012,"[[1.8371989727020264, 161.544921875, 42.50062561035156, 342.6783142089844], [421.85650634765625, 165.39251708984375, 539.2896118164062, 478.7834777832031], [512.7628173828125, 84.17350769042969, 788.2889404296875, 492.0963134765625], [747.1846923828125, 206.98211669921875, 1015.3038330078125, 540.9730834960938], [45.07407760620117, 189.9495086669922, 91.63349914550781, 382.7378234863281], [517.9067993164062, 84.24848175048828, 677.0660400390625, 477.2952880859375], [93.40303802490234, 86.78489685058594, 147.9145050048828, 362.49346923828125], [354.80743408203125, 165.1583251953125, 539.9734497070312, 479.356201171875]]",8
24,Joseph_Mallord_William_Turner_(1775-1851)_-_Narcissus_and_Echo_-_T03869_-_Tate.jpg,strong_blur,[0.6640625],836,1114,"[[721.7728881835938, 78.15480041503906, 1105.051513671875, 815.5154418945312]]",1
25,"Carl_Dahl,_Lissabons_rhed,_,_KMS414,_Statens_Museum_for_Kunst.jpg",strong_blur,[],1072,1500,[],0
26,August%20Cappelen%20-%20Lake%20in%20Telemark%20-%20NG.M.02409%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg,strong_blur,"[0.5546875, 0.490234375, 0.52734375, 0.46484375, 0.423828125, 0.43359375, 0.4375, 0.431640625, 0.50390625, 0.4765625, 0.423828125, 0.427734375, 0.443359375, 0.50390625, 0.412109375, 0.40625]",690,1500,"[[931.3899536132812, 373.7419128417969, 991.4755249023438, 467.4996032714844], [140.08192443847656, 387.2176818847656, 204.2631378173828, 573.9486694335938], [302.60479736328125, 347.5346374511719, 367.3031005859375, 584.58544921875], [246.05288696289062, 202.2434844970703, 302.97576904296875, 373.14642333984375], [-2.8790552616119385, 483.4523620605469, 50.457298278808594, 611.2527465820312], [387.51904296875, 451.81121826171875, 435.534423828125, 607.0319213867188], [1239.4794921875, 292.7075500488281, 1312.087890625, 411.4310607910156], [427.1746826171875, 383.2217712402344, 485.7937316894531, 602.4161987304688], [992.81787109375, 293.3436279296875, 1095.0096435546875, 554.4019165039062], [1342.0235595703125, 232.42747497558594, 1491.76708984375, 469.87646484375], [832.75732421875, 380.5435791015625, 923.040283203125, 570.6088256835938], [513.5125122070312, 448.9302673339844, 608.72802734375, 661.0408325195312], [471.9447021484375, 305.8975524902344, 609.72021484375, 655.62646484375], [837.334228515625, 380.8662109375, 922.7994384765625, 507.89984130859375], [1158.1011962890625, 318.0572509765625, 1240.485595703125, 469.1581726074219], [213.55545043945312, 200.0916290283203, 309.29718017578125, 580.2314453125]]",16
27,Carl_Bøgh_-_Dåvildt_på_en_slette_i_Dyrehaven.png,strong_blur,"[0.66015625, 0.69921875, 0.5546875, 0.77734375, 0.498046875, 0.84765625]",1179,1500,"[[1322.750732421875, 722.4254150390625, 1505.715576171875, 899.9678955078125], [69.3403549194336, 655.1455078125, 282.7377624511719, 746.5905151367188], [-2.861917018890381, 432.0224914550781, 301.1806945800781, 700.5655517578125], [-0.8047353625297546, 558.05126953125, 170.57102966308594, 718.21484375], [565.7095947265625, 631.8983154296875, 699.5570068359375, 736.5675048828125], [196.421142578125, 240.02597045898438, 863.8802490234375, 801.9772338867188]]",6
28,Oswald_Achenbach_-_Sonntagsspaziergang_in_der_römischen_Landschaft_(1882).jpg,strong_blur,"[0.478515625, 0.65625, 0.431640625, 0.546875]",1040,1500,"[[679.8323974609375, 575.8379516601562, 730.6534423828125, 661.1158447265625], [435.37139892578125, 521.3033447265625, 531.3568115234375, 617.6814575195312], [764.6483764648438, 598.7659912109375, 856.869873046875, 674.1484985351562], [566.682373046875, 533.7133178710938, 641.6611938476562, 665.0333862304688]]",4
29,Dankvart_Dreyer_-_A_View_of_a_Wooded_Landscape_in_Jutland_-_KMS3932_-_Statens_Museum_for_Kunst.jpg,strong_blur,[],424,570,[],0
30,Andreas%20Achenbach%20-%20Clearing%20Up%E2%80%94Coast%20of%20Sicily%20-%20Walters%2037116.jpg,strong_blur,[],1081,1500,[],0
31,Johan_Fredrik_Eckersberg_-_From_Horgheim_in_Romsdal_-_Google_Art_Project.jpg,strong_blur,[],1014,1500,[],0
32,Dankvart_Dreyer_-_St_Knud's_Church_by_the_River_in_Odense._Autumn_-_KMS1678_-_Statens_Museum_for_Kunst.jpg,strong_blur,"[0.4375, 0.44140625]",415,546,"[[0.3335123062133789, 70.91265106201172, 188.47459411621094, 406.4493713378906], [473.7389221191406, 207.5225372314453, 498.14483642578125, 270.08294677734375]]",2
33,"Caspar_David_Friedrich,_Efter_stormen,_1817,_KMS8817,_Statens_Museum_for_Kunst.jpg",strong_blur,[],1094,1500,[],0
34,"Christian_Zacho,_Vinterbillede_fra_Bretagne_Den_første_sne,_1881,_KMS1135,_Statens_Museum_for_Kunst.jpg",strong_blur,"[0.5703125, 0.72265625, 0.458984375, 0.78515625, 0.8671875, 0.486328125]",970,1500,"[[1327.62939453125, 572.5823974609375, 1418.5791015625, 672.1301879882812], [303.1113586425781, 463.8889465332031, 668.4450073242188, 748.3282470703125], [1256.6551513671875, 607.377685546875, 1328.3228759765625, 677.7066040039062], [1.7746613025665283, 17.59309959411621, 409.33941650390625, 953.5040283203125], [560.7777709960938, 41.775489807128906, 1369.902587890625, 769.1024169921875], [1180.628173828125, 589.696044921875, 1271.3077392578125, 677.0087890625]]",6
35,Carl_Frederik_Aagaard_-_Parti_fra_Napolibugten_med_to_italienere_i_samtale_i_en_pergola_-_1879.png,strong_blur,"[0.412109375, 0.40234375, 0.453125]",1500,1155,"[[851.6459350585938, 14.295167922973633, 1161.7061767578125, 648.214111328125], [165.07867431640625, 920.8450927734375, 284.4144592285156, 1021.11181640625], [47.50226593017578, 885.6082763671875, 176.0503692626953, 1005.6925659179688]]",3
36,Knud_Baade_-_Cloud_Study_-_Google_Art_Project_(EwHQxltjDNJMdw).jpg,strong_blur,[],1158,1500,[],0
